image,prediction,confidence (%)
10004.jpg,buildings,68.5348
10005.jpg,mountain,81.98197
10012.jpg,street,98.76163
10013.jpg,mountain,95.11156
10017.jpg,mountain,97.66384
10021.jpg,forest,99.65952
1003.jpg,sea,99.76681
10034.jpg,glacier,99.9969
10038.jpg,sea,99.99968
10040.jpg,street,99.908104
10043.jpg,sea,98.09717
10045.jpg,street,99.882225
10047.jpg,mountain,93.5153
10048.jpg,buildings,99.1583
10052.jpg,buildings,99.99449
10054.jpg,glacier,99.321075
10059.jpg,forest,99.98741
10060.jpg,forest,99.991455
10066.jpg,mountain,96.401115
10069.jpg,sea,99.86695
10073.jpg,street,99.695564
10079.jpg,street,99.99917
1008.jpg,street,99.9688
10082.jpg,buildings,66.94241
10083.jpg,glacier,99.83168
10090.jpg,buildings,99.992874
10092.jpg,forest,99.88585
10096.jpg,mountain,99.65185
101.jpg,glacier,99.9943
10100.jpg,mountain,99.67448
10101.jpg,mountain,56.04396
10102.jpg,sea,97.33185
10106.jpg,mountain,99.08143
10109.jpg,sea,99.99975
10119.jpg,sea,94.16116
10124.jpg,mountain,81.20422
10127.jpg,sea,99.98007
10129.jpg,glacier,71.19947
10132.jpg,mountain,83.58491
10133.jpg,mountain,99.09982
10147.jpg,sea,99.661736
10157.jpg,street,99.503456
10158.jpg,glacier,96.39145
10159.jpg,mountain,85.438225
1016.jpg,sea,99.83173
10164.jpg,forest,99.99873
10166.jpg,mountain,98.2205
10168.jpg,glacier,99.93136
10169.jpg,street,99.5704
10171.jpg,glacier,92.00884
10173.jpg,buildings,90.667366
10175.jpg,buildings,98.03327
10178.jpg,forest,99.99888
10179.jpg,buildings,97.835526
1018.jpg,forest,99.99273
10187.jpg,sea,94.00586
10190.jpg,glacier,95.973656
10199.jpg,street,99.98238
1020.jpg,buildings,99.9832
10201.jpg,street,99.794655
10208.jpg,buildings,99.96171
10209.jpg,forest,99.9922
10211.jpg,glacier,91.47538
10212.jpg,sea,95.95139
10225.jpg,forest,99.98865
10226.jpg,mountain,94.91295
10232.jpg,glacier,93.28496
10233.jpg,street,98.67496
10241.jpg,forest,99.866196
10243.jpg,mountain,87.9427
10244.jpg,sea,48.926735
10246.jpg,forest,99.974724
10247.jpg,sea,98.09656
10253.jpg,street,99.99953
1026.jpg,forest,99.98525
10261.jpg,forest,99.97969
10269.jpg,mountain,99.54651
10270.jpg,sea,98.52189
10272.jpg,glacier,99.96921
10276.jpg,glacier,96.42301
10277.jpg,street,99.8447
10282.jpg,glacier,57.7173
10284.jpg,mountain,99.47237
10286.jpg,forest,99.96108
10287.jpg,forest,99.97407
10288.jpg,mountain,99.95572
10290.jpg,buildings,99.98609
10292.jpg,forest,99.898796
10293.jpg,glacier,79.36688
103.jpg,buildings,99.74498
10302.jpg,mountain,93.213745
10305.jpg,buildings,96.95202
10307.jpg,glacier,99.93537
10308.jpg,forest,99.98287
10311.jpg,forest,99.99155
10321.jpg,buildings,99.99786
10333.jpg,sea,98.7919
10336.jpg,mountain,74.075645
10339.jpg,sea,94.870735
10340.jpg,street,99.02798
10342.jpg,sea,99.86959
10352.jpg,street,99.87406
10356.jpg,buildings,99.773636
1036.jpg,mountain,98.710266
10360.jpg,forest,99.999535
10363.jpg,glacier,90.03863
10366.jpg,sea,99.966774
1037.jpg,street,99.62795
10371.jpg,forest,99.82838
10375.jpg,street,99.687164
10377.jpg,sea,99.99672
10381.jpg,street,84.483604
10388.jpg,forest,99.636826
1039.jpg,buildings,99.48267
10390.jpg,buildings,98.27657
10391.jpg,mountain,98.66473
10395.jpg,street,99.94028
10397.jpg,sea,99.937645
10400.jpg,mountain,99.82843
10401.jpg,mountain,97.132195
10405.jpg,mountain,95.54102
10406.jpg,mountain,62.482952
10409.jpg,mountain,99.09263
10410.jpg,sea,63.036026
10413.jpg,street,99.98242
10414.jpg,buildings,99.99996
10415.jpg,buildings,87.16007
10419.jpg,glacier,91.950455
10423.jpg,buildings,99.999916
10424.jpg,forest,99.934616
10425.jpg,sea,99.91572
10427.jpg,mountain,98.656784
10434.jpg,glacier,99.996796
10435.jpg,forest,99.998566
10436.jpg,mountain,98.47166
10437.jpg,buildings,52.91318
10439.jpg,glacier,94.80902
10445.jpg,forest,99.99807
10447.jpg,forest,99.94658
10457.jpg,buildings,59.416763
10458.jpg,forest,99.84593
1046.jpg,sea,86.632904
10461.jpg,street,99.91795
10469.jpg,sea,99.96895
10471.jpg,glacier,80.120995
10475.jpg,mountain,83.66747
10477.jpg,street,95.833
10478.jpg,sea,99.77879
10479.jpg,forest,99.949394
1048.jpg,glacier,96.44558
10481.jpg,forest,61.330067
10484.jpg,mountain,99.62322
10486.jpg,buildings,98.60709
1049.jpg,street,99.81603
10498.jpg,glacier,99.995255
10501.jpg,glacier,97.518425
1051.jpg,glacier,98.996346
10512.jpg,street,99.67762
1052.jpg,forest,99.973114
10522.jpg,forest,99.99125
10523.jpg,forest,99.96042
1053.jpg,buildings,98.73177
10530.jpg,glacier,99.61361
10531.jpg,street,99.91412
10534.jpg,glacier,95.732025
10535.jpg,mountain,98.243965
10538.jpg,mountain,96.26174
10545.jpg,sea,99.5024
10549.jpg,forest,99.99742
10557.jpg,mountain,97.12926
10558.jpg,glacier,94.69656
10560.jpg,street,99.999855
10561.jpg,forest,99.996635
10568.jpg,glacier,86.29492
10572.jpg,mountain,99.89643
10579.jpg,forest,99.99832
10583.jpg,forest,99.99975
10585.jpg,forest,99.53114
10586.jpg,street,99.71302
10587.jpg,street,99.55218
10590.jpg,street,99.96138
10591.jpg,buildings,99.9989
10593.jpg,buildings,84.82476
1060.jpg,glacier,99.12744
1061.jpg,mountain,99.57256
10612.jpg,sea,98.375435
10614.jpg,forest,98.68019
10615.jpg,sea,98.7886
10622.jpg,forest,99.99496
10625.jpg,sea,98.33645
10629.jpg,sea,73.81901
10631.jpg,sea,99.744865
10634.jpg,glacier,92.1548
10638.jpg,street,98.488106
10649.jpg,sea,96.69948
10651.jpg,glacier,99.786964
10652.jpg,mountain,76.754074
10657.jpg,forest,99.94398
1066.jpg,mountain,97.71534
10660.jpg,glacier,98.955185
10669.jpg,street,98.257935
10674.jpg,mountain,94.80447
10675.jpg,buildings,99.551216
10676.jpg,mountain,99.70257
10677.jpg,glacier,98.60893
10679.jpg,buildings,99.53268
10680.jpg,forest,99.99994
10682.jpg,glacier,99.53037
10685.jpg,sea,99.8769
10694.jpg,sea,99.8434
10696.jpg,mountain,71.38169
10698.jpg,forest,99.066475
1070.jpg,forest,99.95287
10700.jpg,buildings,95.305626
10701.jpg,glacier,99.6121
10702.jpg,mountain,98.011406
10708.jpg,sea,99.985016
1071.jpg,sea,99.99237
10712.jpg,street,99.7943
1072.jpg,sea,99.66658
10726.jpg,forest,99.99546
10733.jpg,street,99.37149
10734.jpg,forest,99.20298
10737.jpg,street,99.955376
10742.jpg,sea,99.44487
10746.jpg,buildings,99.999855
